Company,Question,Date
Trainee Data Analyst at b3Intelligence was asked...,all question are very simple. related to excel like how to use v lookup and h lookup what is mean median mode etc,19-Dec-19
Data Analyst at Morningstar was asked...,"Basic question on the finance, financial statements, IFRS, indian GAAP, ratios",9-Jan-17
Data Analyst at ZS Associates was asked...,how would you deal with people with casual attitude in your team??,21-Sep-13
Data Analyst at Tracxn was asked...,simple interview question Ex:1)why should i hire you?,5-Feb-17
Data Analyst at IBM was asked...,how you will pass your leisure time?,3-Jul-12
Data Analyst at Zoho was asked...,P pages read in d mins after day p+1 pages read in d+1 mins last day 379 pages done in 317 mins find p+4,2-Dec-17
Data Analyst at Anonymous Content was asked...,tell me about yourself,30-May-18
Data Analyst at Technosoft Corporation was asked...,Just HR stuff was aked to me in the interview. No need to panic. It was a chill interview. They want to check whether you will stay in their company or not after offering the job because of low CTC.,27-Jul-15
Data Analyst at Ugam was asked...,"They asked me by seeing my resume use FILE HANDLING and write a program to find how much time the keyword ""Coimbatore"" occurred and also basics of C and JAVA and other questions vary depends on the area of interests of your resume",3-Jan-17
Data Analyst at Technosoft Corporation was asked...,About yourself and company and the job role you are applying for.,6-Oct-15
Data Analyst at Evive was asked...,Can u further reduce the complexity of the code.,15-Jul-17
Data Analyst at Mercer was asked...,Apti / Technical Written exam consists of 40 marks . Easy to crack. Technical is only a name here folks: it was just a basic about excel,20-Feb-16
Senior Clinical Data Analyst at Parexel was asked...,tell me about your currect role and responsibility. Why you want to join our company? why you are leaving your current company?,29-Nov-17
Data Analyst at Epsilon was asked...,tell me about yourself by 5 different people.,14-Mar-17
Data Analyst at GlobalLogic was asked...,were you want to see yourself after 5 years?,11-Sep-15
Data Analyst - Long Delay In Carrying the Interview Steps at HP Inc. was asked...,"skills related, database related questions",23-Jan-20
Data Analyst at EY was asked...,what is your longterm goal?,4-Jan-11
Data Analyst at Growisto was asked...,Suppose if you got an unexpected trouble during the work how will you troubleshoot the same ?,3-Mar-20
Data Analyst at SAP was asked...,u are getting input from array of unknown length one at a time. How will you pick k no uniformly from the array.,23-Nov-15
Senior Data Analyst at Bookmyshow was asked...,"SQL Queries like Joins, Subqueries",28-Feb-18
Data Analyst at IBM was asked...,how you will pass your leisure time?,3-Jul-12
Data Analyst at Zoho was asked...,P pages read in d mins after day p+1 pages read in d+1 mins last day 379 pages done in 317 mins find p+4,2-Dec-17
Data Analyst at Anonymous Content was asked...,tell me about yourself,30-May-18
Data Analyst at EY was asked...,What is something about you that isn't in your CV?,3-Sep-19
Data Analyst at Mercer was asked...,Apti / Technical Written exam consists of 40 marks . Easy to crack. Technical is only a name here folks: it was just a basic about excel,20-Feb-16
Data Analyst - Long Delay In Carrying the Interview Steps at HP Inc. was asked...,"skills related, database related questions",23-Jan-20
Data Analyst at Fractal was asked...,why fractal.,21-Jun-17
Data Analyst at Accenture was asked...,Data Modeling and different Approach,28-Jul-19
Data Analyst at Fractal was asked...,"there interview process , is a joke for them to west people time. they ask everything which is not for the position they hire. any way how does it matters . any way they will reject only",22-Aug-19
Data Analyst at Fractal was asked...,why fractal.,21-Jun-17
Data Analyst at Crystal Solutions was asked...,related to networking concepts,9-Mar-17
Data Analyst at eClerx was asked...,Tell me about yourself,7-Apr-17
Data Analyst at Sandcube Analytics was asked...,based on some pdf which they will only send,20-Sep-17
Data Analyst at Spire Research & Consulting was asked...,What was your approach and why did you choose it ? (Regarding Case Studies),16-Jul-17
"Data Analyst at Enochville Fire & Rescue Department, Inc. was asked...",Why should we hire u ?,29-Nov-17
Data Analyst at FastFox.com was asked...,"In a SQL query, what is the difference between 'where' and 'having' function?",7-Jan-18
Data Analyst at J.P. Morgan was asked...,what was your last process what was the project aa how did you lead it what are teh reasons for leaving previous company. what is tsqsl,28-Mar-18
Research Data Analyst at WNS was asked...,Where do your parents work?,31-May-18
Data Analyst at Bharti Airtel was asked...,SQL related questions. functional domain related business questions. Salary negotiation.,22-Mar-18
Data Analyst at Crystal Solutions was asked...,related to networking concepts,9-Mar-17
Data Analyst at eClerx was asked...,Tell me about yourself,7-Apr-17
Data Analyst at Selling Simplified was asked...,as usual,3-Jun-17
Data Analyst at Spire Research & Consulting was asked...,What was your approach and why did you choose it ? (Regarding Case Studies),16-Jul-17
Data Analyst at Bidgely was asked...,write a test case on irctc?,26-Sep-17
Data Analyst at FN MathLogic Consulting Services was asked...,A case study was given and questions asked about it.,27-Jul-17
Data Analyst at The Smart Cube was asked...,Basic Aptitude Questions which were of good level.,28-Nov-15
Data Analyst at IQR Consulting was asked...,"Sql, Excel, Big data technology (If you apply for Analytics + Technical role), Deep Statistics (For statistician role)",1-Oct-15
Data Analyst at Abhyudaya Multimedia was asked...,why you want to join our organisation.,4-Feb-16
Data Analyst at Kreata Global was asked...,what you know about managing a back end of website,9-Aug-16
Research Data Analyst at S&P Global Market Intelligence was asked...,Questions on financial statements,20-Jan-19
Data Analyst at MaxVal Group was asked...,Tell me about yourself,9-Jan-19
Data Analyst at Nineleaps Technology Solutions was asked...,In written there was Multiple choice questions & f2f was asked about past experience,16-May-19
Data Analyst at Infosys BPM was asked...,"For data analyst , they only took SQL written test and no BI test. Questions were very easy.",19-Jun-19
Data Analyst at SDRC was asked...,Do you know Vlookup formulla? What you know more about excel?,18-Jun-15
Data Analyst at The Smart Cube was asked...,Basic Aptitude Questions which were of good level.,28-Nov-15
Data Analyst at The Smart Cube was asked...,volksvegan scandal and Why should FDI in defense was raised to 49% some other technical questions related my specialization.,4-Nov-15
Research and Data Analyst at Opera Solutions was asked...,Why Opera?,9-Oct-15
Data Analyst at IQR Consulting was asked...,"Sql, Excel, Big data technology (If you apply for Analytics + Technical role), Deep Statistics (For statistician role)",1-Oct-15
Data Analyst at The Smart Cube was asked...,Puzzles on 3 bulbs 1 switch.,14-Jan-16
Data Analyst at Bharti Airtel was asked...,SQL related questions. functional domain related business questions. Salary negotiation.,22-Mar-18
Data Analyst at OM Technologies was asked...,What is Regression Analysis?,12-Jun-18
Data Analyst at McKinsey & Company was asked...,Bigdata hadoop business based questions and more of functional round of discussion in place of technical,22-Mar-18
Research Data Analyst at William O'Neil & Co was asked...,don't remember being asked any work related questions.,2-Jul-18
Data Analyst at SIBIA Analytics and Consulting Services was asked...,Moderate questions from DBMS and Data Structure. Basic questions from Machine Learning.,20-Jul-18
Data Analyst at Sandcube Analytics was asked...,Describe Yourself,21-Oct-18
Data Analyst at Lagnam InfoTech was asked...,Geeksforgeek puzzles in written test 2nd round Interview = what are your expectations from your 1st job only one question,29-Sep-18
Data Analyst at RentoMojo was asked...,1. what is lead() and lag() in sql?,5-Apr-19
Data Analyst at Systech (CA) was asked...,Oops concept,25-Feb-19
Data Analyst at Dipper was asked...,tell me why should we hire you,9-Feb-19
Data Analyst at eClerx was asked...,McQ based on basic of SQL and Excel,13-Mar-19
Data Analyst at TCS was asked...,What is your responsibility in your project.,3-Apr-19
Data Analyst at Shine was asked...,Brief about the last projects that you have worked on?,13-Mar-19
Data Analyst at Shine was asked...,An approach to recommendation model,13-Mar-19
Data Analyst at Nineleaps Technology Solutions was asked...,Asked basic excel and SQL questions,23-May-19
Data Analyst at Nineleaps Technology Solutions was asked...,In written there was Multiple choice questions & f2f was asked about past experience,16-May-19
Data Analyst at ZAPR Media Labs was asked...,"1st round was technical round where I had to solve 6 SQL questions and 2 python questions. Questions were of intermediate level and conceptual. 2nd round was technical discussion where these questions were discussed. They asked lambda function, pandas, numpy. SQL questions were based on rank(), dense_rank(), sub queries, group by, joins, upper, lower, like, Python questions were based on dealing with arrays, sorting of arrays, dictionaries 3rd round was discussion with analytics VP. I was bit nervous , but trust me it was one of the best interviews I have ever had. Interviewer was quite friendly. 4th round was with HR where she asked general questions like why do you want to leave the organisation, why ZAPR, what you do do in your organisation when you have to work for longer hours etc. I went there at 11 AM and the last round completed at 5 PM. Interview was on Friday and on next Monday I got the confirmation.",15-Oct-19
Data Analyst at Aptara was asked...,Tell me about yourself?,20-Aug-19
Junior Data Analyst at The Interview People was asked...,Asked about the technical skills,30-Oct-19
Data Analyst at ZAPR Media Labs was asked...,"SQL,Python and Business Scenario Test cases",23-Oct-19
Data Analyst at Shine was asked...,Brief about the last projects that you have worked on?,13-Mar-19
Data Analyst at Shine was asked...,An approach to recommendation model,13-Mar-19
Data Analyst at Nineleaps Technology Solutions was asked...,Asked basic excel and SQL questions,23-May-19
Financial Data Analyst at William O'Neil & Co was asked...,What have u done for this job?,23-May-19
Data Analyst at LiquidHub was asked...,About Yourself? Why Liquid Hub? Few sequel queries?,25-Jun-19
Data Analyst at ZAPR Media Labs was asked...,"1st round was technical round where I had to solve 6 SQL questions and 2 python questions. Questions were of intermediate level and conceptual. 2nd round was technical discussion where these questions were discussed. They asked lambda function, pandas, numpy. SQL questions were based on rank(), dense_rank(), sub queries, group by, joins, upper, lower, like, Python questions were based on dealing with arrays, sorting of arrays, dictionaries 3rd round was discussion with analytics VP. I was bit nervous , but trust me it was one of the best interviews I have ever had. Interviewer was quite friendly. 4th round was with HR where she asked general questions like why do you want to leave the organisation, why ZAPR, what you do do in your organisation when you have to work for longer hours etc. I went there at 11 AM and the last round completed at 5 PM. Interview was on Friday and on next Monday I got the confirmation.",15-Oct-19
Data Analyst at Aptara was asked...,Tell me about yourself?,20-Aug-19
Data Analyst at Globsyn Technologies was asked...,Tell me about yourself? Why should I hire you? Basic question from domain and basic questions from IT,16-Feb-20
Data Analyst at J.P. Morgan was asked...,Draw me a bull call option strategy on a graph.,10-Mar-20
Data Analyst at Mahindra was asked...,Aptitude questions,11-Mar-20
Research Data Analyst at S&P Global Market Intelligence was asked...,Questions on financial statements,20-Jan-19
Data Analyst at MaxVal Group was asked...,Tell me about yourself,9-Jan-19
Data Analyst at Ideas2IT was asked...,Python questions related to data science. Probability and Statistics basic questions. ML algorithm questions. Mathematical logical questions.,12-Mar-19
Financial Data Analyst at William O'Neil & Co was asked...,What have u done for this job?,23-May-19
Data Analyst at Infosys BPM was asked...,"For data analyst , they only took SQL written test and no BI test. Questions were very easy.",19-Jun-19
Data Analyst at LiquidHub was asked...,About Yourself? Why Liquid Hub? Few sequel queries?,25-Jun-19
Data Analyst at Globsyn Technologies was asked...,Tell me about yourself? Why should I hire you? Basic question from domain and basic questions from IT,16-Feb-20
Data Analyst at Indegene was asked...,"Online test had few really hard and tricky statistics questions, focusing on probability. In technical round - they asked basic questions like primary key, foreign key, datatype in R, past projects, ANOVA, Multicollinearity and how it effect a model etc. In managerial round/HR round they asked about previous work experience, previous CTC, notice period etc.",28-Feb-20
Data Analyst at Mahindra was asked...,Aptitude questions,11-Mar-20
Data Analyst at Nestaway Technologies was asked...,guesstimates no of passengers who will travel on a particular day,30-Apr-20
Data Analyst at J.P. Morgan was asked...,Draw me a bull call option strategy on a graph.,10-Mar-20
Data Analyst at Knowlarity Communications was asked...,Tell me about yourself ?,25-Aug-17
Data Analyst at Knowlarity Communications was asked...,Where do you see yourself in 5 years ?,25-Aug-17
Senior Data Analyst at FirstCry com was asked...,"Aggregate functions, temp tables, CTE",17-Jul-17
Data Analyst at FirstCry com was asked...,project and experience,6-Jan-19
Data Analyst at FirstCry com was asked...,"profile, projects",6-Jan-19
Senior Data Analyst at DemandMatrix was asked...,Difference between sets and list in python,27-Jul-19
Data Analyst at BigTapp was asked...,Logistic Regression And all projects added in the resume,16-Oct-19
Data Analyst at BigTapp was asked...,How good or passionate are you for data analytics,26-Feb-19
Junior Data Analyst at Paragon Digital Services was asked...,Basic on Resume,16-Apr-18
Data Analyst at Unbxd was asked...,SQL question,8-Jun-19
Data Analyst at Bahar Infotech was asked...,Tell us about yourself?,16-Nov-17
Business Data Analyst at Merilytics was asked...,Business case on depreciation of value and return of investment for production equipment,9-Aug-19
Data Analyst at Goldman Sachs was asked...,What are the types of projects did you work with so far?,28-Jun-20
Data Analyst at Enquero was asked...,About projects you have done and sql queries.,9-Dec-17
Data Analyst at Sokrati was asked...,What is a tree? and How do you traverse it?,27-Jul-17
Data Analyst at LTI was asked...,"Intermediate level SQL questions. Likr joins and. Groups. I was having ETL background so mist of the questions wrre from that part, like SCD types and surrogate keys concepts. Project related and domain related .",25-Apr-19
Junior Healthcare Data Analyst at SCIO Health Analytics was asked...,Third round internet calling didnt happen.,27-Oct-19
Junior Healthcare Data Analyst at SCIO Health Analytics was asked...,gave some data with filenames and schema and asked me how will you extract the mentioned data from them,27-Oct-19
Junior Healthcare Data Analyst at SCIO Health Analytics was asked...,Joins in SAS,27-Oct-19
Junior Healthcare Data Analyst at SCIO Health Analytics was asked...,about my project in did in the training institute and the questions on that,27-Oct-19
Junior Healthcare Data Analyst at SCIO Health Analytics was asked...,Why are you shifting career from finance to analytics,27-Oct-19
Data Analyst at Ipsos was asked...,"Questions on Time Series Analysis, Regression Analysis",31-Mar-18
Data Analyst at Ipsos was asked...,What is MROI,31-Mar-18
Data Analyst Consultant at Risk Management Solutions was asked...,where do you see yourself in 5 years,28-Mar-18
Data Analyst at vPhrase was asked...,Tell me something about yourself Do you know about pandas How good are you with Excel,16-Dec-17
Data Analyst at Impetus Technologies was asked...,"current roles, responsibilities and domain specific.",13-Mar-18
Data Analyst at Impetus Technologies was asked...,"Previous role and responsibilities , domain specific, what kind of career you are looking at.",13-Mar-18
Data Analyst at EXL Service was asked...,How does Random Forest work?,23-Nov-19
Data Analyst at EXL Service was asked...,Basic GRE puzzle questions,8-Aug-16
Data Analyst at EXL Service was asked...,"Questions were related to basic sql , c++ and puzzles.",21-Aug-16
Data Analyst at EXL Service was asked...,Basic GRE puzzle questions,8-Aug-16
Data Analyst at EXL Service was asked...,Explain multiple regression analysis in layman terms.,13-Dec-16
Data Analyst at Impetus Technologies was asked...,"current roles, responsibilities and domain specific.",13-Mar-18
Data Analyst at Impetus Technologies was asked...,"Previous role and responsibilities , domain specific, what kind of career you are looking at.",13-Mar-18
Data Analyst at Subex was asked...,What is Interquartile range?,8-Apr-16
Data Analyst at Subex was asked...,Explain box plot?,8-Apr-16
Data Analyst at Efftronics Systems was asked...,Formula for p-value?,13-Feb-20
Data Analyst at Fresherworld.com was asked...,Tell me what you about the company?,29-Aug-16
Trainee Data Analyst at Toluna was asked...,"question based on patterns like pyramid, diamond, reverse of string.",14-Dec-15
Data Analyst at Toluna was asked...,in written test if you attempt 70% question accurately from per section then you will qualify for next round.,21-Feb-14
Data Analyst at Wittyfeed was asked...,"What are the adventures things have done? In which things, you are interested? general HR questions/",5-May-17
Senior Data Analyst at Prometric was asked...,Tell me about yourself,20-Jul-17
Data Analyst at Fresh Gravity was asked...,Basics of everything.,27-Feb-16
Data Analyst at DataWeave was asked...,Describe the job description and responsibility.,20-Jul-18
Data Analyst at Tesco Bengaluru was asked...,Case study,23-Nov-19
Data Analyst at BRIDGEi2i was asked...,Basic subject concepts which was easy,19-Sep-17
Data Analyst at BRIDGEi2i was asked...,Tell me something about yourself.,4-Jun-18
Data Analyst at BRIDGEi2i was asked...,Some difficult questions from probability and programming concepts.,30-Sep-18
Data Analyst at BRIDGEi2i was asked...,Why Bridge i2i? Why You? Some puzzles case studies Questions based on Resume,29-Apr-16
Data Analyst at Mu Sigma was asked...,What is the meaning of your name? Tell me about your family ? Tell me something about your father's business ?,4-Mar-19
Data Analyst at Vidal Healthcare was asked...,Scenario based questions,4-Oct-18
Data Analyst at Mu Sigma was asked...,will you be comfortable in banglore?,29-Nov-17
Data Analyst at Cogencis Information Services was asked...,What is balance sheet ? vertical income statement .,1-Mar-16
Data Analyst at Tesco Bengaluru was asked...,Case study,23-Nov-19
Data Analyst at BRIDGEi2i was asked...,Tell me something about yourself.,4-Jun-18
Data Analyst at BRIDGEi2i was asked...,How I implemented my projects and how I would handle changes in them.,29-Aug-18
Data Analyst at BRIDGEi2i was asked...,Real life examples where linear regression can be used and few other related to basic ML,11-Sep-18
Data Analyst at BRIDGEi2i was asked...,Some difficult questions from probability and programming concepts.,30-Sep-18
Data Analyst at BRIDGEi2i was asked...,puzzles statistics DBMS SQL query,21-Sep-16
Data Analyst at BRIDGEi2i was asked...,puzzles statistics DBMS SQL query,21-Sep-16
Data Analyst at BRIDGEi2i was asked...,How I implemented my projects and how I would handle changes in them.,29-Aug-18
Data Analyst at BRIDGEi2i was asked...,Real life examples where linear regression can be used and few other related to basic ML,11-Sep-18
Data Analyst at LatentView Analytics was asked...,why latentview??,8-Nov-15
Data Analyst at KnowledgeHut was asked...,To intoduce myself and about job description .,31-Aug-16
Data Analyst at Actiknow was asked...,Tell me something about yourself which is not mentioned in the resume,19-May-19
Data Analyst at FE fundinfo was asked...,Tell me about yourself?,25-Jun-18
Data Analyst at FE fundinfo was asked...,What is Mutual Fund?,25-Jun-18
Data Analyst at FE fundinfo was asked...,basics of Mutual Fund,23-Jun-19
Data Analyst at FE fundinfo was asked...,about previous work experience,28-Mar-16
Research Data Analyst at S&P Global was asked...,How was the Internship in MBA and What are your hobvies.About Merger and Acquisition,19-Jan-19
Data Analyst at KnowledgeHut was asked...,To intoduce myself and about job description .,31-Aug-16
Data Analyst at LatentView Analytics was asked...,why latentview??,8-Nov-15
Data Analyst at LatentView Analytics was asked...,"Puzzle 3: There are three switches on the ground floor and there is one bulb corresponding to each switch. One bulb is on the ground floor, one is on the 1st floor and third bulb on the 2nd floor. You cannot see any bulb from the switchyard. You are not allowed to come back to switchyard once you go to check the bulb. How will you find, which bulb is for which switch?",22-Sep-16
Data Analyst at LatentView Analytics was asked...,Logical questions and math riddles were asked. Asked me the reasons for getting into this domain.,22-Nov-16
Data Analyst at Actiknow was asked...,Tell me something about yourself which is not mentioned in the resume,19-May-19
Data Analyst at LatentView Analytics was asked...,Some Data Interpretation questions are from IndiaBix,17-Sep-17
Data Analyst at LatentView Analytics was asked...,"Basic programmes in C like string reversal, swapping without temporary variable Puzzles. Branch specific questions since i was EE student.",9-Sep-17
Data Analyst at Hike was asked...,Timings and all.,27-Aug-19
Data Analyst at Chainalytics was asked...,reasoning.,20-Nov-19
Data Analyst at LatentView Analytics was asked...,"Basic programmes in C like string reversal, swapping without temporary variable Puzzles. Branch specific questions since i was EE student.",9-Sep-17
Data Analyst at Chainalytics was asked...,reasoning.,20-Nov-19
Technical Data Analyst at Wipro was asked...,What do you understand about the work of a Data Analyst? Are you comfortable learning Big Data etc,11-Jan-18
Data Analyst at Wipro was asked...,"DBMS OS Networking, Java, Project",16-Jan-18
Data Analyst at Wipro was asked...,How comfortable are you with Excel Tell me about yourself Can you join within 5 days,2-Feb-17
Market Data Analyst at State Street Global Advisors was asked...,Most difficult question I was asked was regarding a bond valuation method.,27-May-14
Trainee Junior Data Analyst at Cognizant Technology Solutions was asked...,What is Pharmacovigilance?,15-Mar-19
Trainee Junior Data Analyst at Cognizant Technology Solutions was asked...,ADR and ADE,15-Mar-19
Trainee Junior Data Analyst at Cognizant Technology Solutions was asked...,Mechanism of action of certain drugs..,15-Mar-19
Data Analyst at Snapdeal was asked...,why should you join here,30-Jan-20
Data Analyst at Innoplexus was asked...,Questions were mainly based on the projects mentioned in CV Machine Learning questions. They mostly asked about machine learning algorithms. Questions on Data Analytics like how would you approach a particular type of dataset.,30-Jun-16
Data Analyst at BOLD was asked...,"Removing Duplicates,",29-Apr-19
Data Analyst at Kantar was asked...,"they asked about bond terms, night shifts",13-Jul-16
Data Analyst at Apex CoVantage was asked...,What do you know about the company,22-Sep-15
Data Analyst at Square Yards was asked...,Where do you currently work?,1-Jul-20
Data Analyst at Hotstar was asked...,Permutations & Combinations and probability questions based on mathematical knowledge,16-May-19
Senior Data Analyst at Hotstar was asked...,Asked about the SQL and the overall logical thinking,4-Oct-19
Data Analyst at Kabbage was asked...,A few basic puzzles. A guesstimate. A few questions on strategy building.,31-Dec-16
Data Analyst at Anonymous Content was asked...,PERSONAL AND ABOUT JAM TOPIC DISSCUSSION,12-Nov-15
Data Analyst at Ameriprise was asked...,Tell me about yourself what you do almost 100 times,20-Jul-16
Data Analyst at Morningstar was asked...,"Equity, Debt, Ratios and what do they indicate.",11-Aug-17
Associate Data Analyst at ZS Associates was asked...,Tell me about your final project.,8-May-18
Financial Data Analyst at Moody's Corporation was asked...,About FDI inward outward process.,11-Aug-17
Data Analyst at Morningstar was asked...,How do cash flow work,26-Apr-18
Data Analyst at Ugam was asked...,Two sand timer of 7 minutes and 4 minutes are given make 9 minutes out of those 2 sand timers.,28-Aug-19
Data Analyst at Kabbage was asked...,A few basic puzzles. A guesstimate. A few questions on strategy building.,31-Dec-16
Data Analyst at dunnhumby was asked...,"Big Data, Hadoop, Spark",13-Mar-20
Senior Data Analyst at Hotstar was asked...,Asked about the SQL and the overall logical thinking,4-Oct-19
Digital Data Analyst at TO THE NEW was asked...,tell me about yourself,25-Mar-18
Data Analyst at Square Yards was asked...,Where do you currently work?,1-Jul-20
Data Analyst at dunnhumby was asked...,"Python, business cases.",29-Jun-19
Data Analyst at dunnhumby was asked...,Mainly focus what you have written in resume and some case studies.,29-Sep-18
Data Analyst at Barclays was asked...,Probability and statistics related questions,19-Jul-18
Data Analyst at Hotstar was asked...,Permutations & Combinations and probability questions based on mathematical knowledge,16-May-19
Data Analyst at Anonymous Content was asked...,PERSONAL AND ABOUT JAM TOPIC DISSCUSSION,12-Nov-15
Data Analyst at Ameriprise was asked...,Tell me about yourself what you do almost 100 times,20-Jul-16
Data Analyst at Merkle was asked...,"They have mentioned you have to use Decision Tree on this Dataset to predict the outcome and given 48 hours time to complete this assignment. I have submitted it between this timeline with complete code and ppt. On next day they replied that you are not selected you didn't meet our expectations. Now i have asked them what was your judgement criteria, how do you evaluate and what was my score on basis of that after that they didn't reply anything. I request you atleast please inform candidate the score what he/she achieved and what are the evaluation parameter.",5-Oct-19
Data Analyst at Randstad US was asked...,What are the types of Data Analytics?,24-Aug-18
Technical Data Analyst at Deloitte was asked...,Mainly about projects and resume,11-Sep-18
Data Analyst at Innovaccer was asked...,basic sql queries in mcq test.,3-Jan-18
Clinical Data Analyst at Parexel was asked...,hierarchy followed in cdm.,9-May-17
Data Analyst at Innovaccer was asked...,basic sql queries in mcq test.,3-Jan-18
Data Analyst at Capital One was asked...,Q : It was an optimization problem.,21-Oct-16
Data Analyst at dunnhumby was asked...,"Big Data, Hadoop, Spark",13-Mar-20
Data Analyst at Barclays was asked...,Probability and statistics related questions,19-Jul-18
Data Analyst at dunnhumby was asked...,"Python, business cases.",29-Jun-19
Business Data Analyst at United Airlines was asked...,Explain your CV.,25-Jun-19
Data Analyst at GlobalLogic was asked...,speak on the given topic for one minute ?,28-Mar-18
Market Data Analyst at Bloomberg L.P. was asked...,what do you understand about the role you have applied for?,31-Oct-18
Market Data Analyst at Bloomberg L.P. was asked...,What is your current role? and what are your skills?,31-Oct-18
Clinical Data Analyst at Parexel was asked...,hierarchy followed in cdm.,9-May-17
Data Analyst at Capital One was asked...,Q : It was an optimization problem.,21-Oct-16
Data Analyst at GlobalLogic was asked...,Will you sign one year bond with us?,11-Jul-17
Market Data Analyst at Bloomberg L.P. was asked...,What difficulty did you face while doing this internship? Was there any specific thing that you did not like in the internship?,25-Aug-17
Data Analyst at Cisco Systems was asked...,write a program for swaping without using a temp varibale,2-Sep-15
Data Analyst at EY was asked...,Questions were regarding a simple pie chart of a Companys sales report,28-Oct-16
Data Analyst at Quotient was asked...,Order of Execution of SQL Query,6-Aug-19
Data Analyst at EY was asked...,Questions were based on the resume.,24-Oct-19
Data Analyst at PwC was asked...,"SQL, Tableau, Qlikview, Knowledge on R, Stats",27-Jan-18
Data Analyst at IQVIA was asked...,Tell us about your Final year project? What was your contribution?,10-Nov-18
Data Analyst at Capgemini was asked...,"Questions related to c,c++,DBMS,SQL,Hadoop",28-Apr-18
Data Analyst at Capgemini was asked...,How efficient are you with MS Excel?,29-Sep-16
Data Analyst at Capgemini was asked...,About projects concepts of OOPS with real life examples. function overloading and overriding,20-Aug-19
Data Analyst at Capgemini was asked...,"Normalization, Stack, Queue, Features of OOPs",23-Aug-19
Data Analyst at Capgemini was asked...,They ask anything like it could be based on your projects or technical.,25-Feb-20
Data Analyst at Capgemini was asked...,The interviewer asked about the projects I had done during my College Time.,14-Jul-20
Data Analyst at Capgemini was asked...,1 - Aptitude (16 question). 2 - Logical reasoning (16 question. 3 - Essay writing. Exam was conducted by cocubes on behalf of capgemini. Some questions which I remembered is. 1 - A man is known to speak truth 3 out of 4 times. He throws a die and report that it is a 6. Find the probability that it is actually 6. 2 - A fair coin is tossed 4 times. What is the probability of getting at least 2 tails? Around 2900 appeared and 700 is selected for technical aptitude around. It consists of following section. 1 - Basic coding - 4 questions. 2 - Data structure - 5 questions. 3 - Algorithms - 5 questions. 4 - Digital logic - 2 questions.,19-Oct-17
Data Analyst at InSync Analytics was asked...,General questions on Excel,18-Jan-16
Data Analyst at Zynga was asked...,Cohort table using sql counting number of sessions using sql Case study about games and uber Also few data related questions,26-Jun-17
Data Analyst at Amazon was asked...,About databases and sql,24-Jun-16
Tableau Data Analyst at TE Connectivity was asked...,tell the day to day activities u do in your current project,13-Dec-19
Data Analyst at IQVIA was asked...,Tell us about your Final year project? What was your contribution?,10-Nov-18
Data Analyst at CenturyLink was asked...,SQL joins,26-Nov-18
Data Analyst at Citi was asked...,"about projects, and general hr questions",23-Jul-16
Data Analyst at Citi was asked...,difference b/w sql and pl/sql,18-Sep-19
Data Analyst at Citi was asked...,Order by clause in DBMS,18-Sep-19
Data Analyst at PwC was asked...,"SQL, Tableau, Qlikview, Knowledge on R, Stats",27-Jan-18
Data Analyst at Thomson Reuters was asked...,what do you know about financial market?,17-Jun-12
Data Analyst at Nielsen was asked...,Questions about AB testing Basic Statistic And Machine Learning,28-Jul-19
Data Analyst at CBRE was asked...,They asked SQL question related to JOIN.,13-Nov-18
Data Analyst at Fractal was asked...,"case studies were asked,few guess estimates and HR round was a usual personal question answer session",6-Sep-14
Data Analyst at Accenture was asked...,explain your resume,12-Jan-18
Data Analyst at Accenture was asked...,Tell me something about your background?,14-May-19
Associate Data Analyst at Salesforce was asked...,Brief discussion about the projects that I have done so far. Asked some SQL problems and Tableau related questions?,3-Apr-20
Data Analyst at Quantiphi was asked...,"Questions on Percentage,Ratio, Time distance and one English Comprehension",13-Nov-16
Data Analyst at SpectraMedix was asked...,Explain one main skill on your resume,16-May-17
Data Analyst at Microtek International (India) was asked...,Explain your work in previous company with the help of flowchart?,19-Jul-17
Data Analyst at Quantta Analytics was asked...,"The work is going to take a toll on you, and you'd have to travel every day, would you be able to manage it all?",6-Aug-17
Data Analyst at SPi Global was asked...,why this job?,26-Sep-17
Data Analyst at inlogic Technologies was asked...,There were some knowledge test questions relating to machine learning techniques and regression analysis.,10-Jan-18
Financial Data Analyst at SmartCube was asked...,Case study,31-Oct-17
Trainee Data Analyst at GreenPoint Global was asked...,Ms excel shortcuts,14-Dec-17
Senior Data Analyst at Rebelute Digital Solutions was asked...,Excel formulas,15-Jan-18
Data Analyst at Ashish Kumar Gupta & Associates was asked...,Tell me about yourself,5-Jan-18
Data Analyst at UnitedLex was asked...,Tell me about Yourself?,23-Mar-18
Data Analyst at eattributes was asked...,Key strength and Primary goal,4-Oct-18
Data Analyst at Rupeek was asked...,tell me about your self,15-Oct-18
Data Analyst at Axtria was asked...,"They asked me everything that was in my resume that included C coding, HTML, CSS, puzzles.",23-Aug-18
Data Analyst at IMRB was asked...,If you are good at maths and programming then you are good to go. Most of the interview questions will be maths and stats. But be honest in the interviews don't lie on your resume.,28-Oct-18
Data Analyst at Sanctum Networks was asked...,Tell me something that is on your CV?,7-Sep-18
Data Analyst at Cybage Software was asked...,Past work experience,7-Feb-16
Data Analyst at The Smart Cube was asked...,Why not civil engineering and why data analyst?,29-Aug-16
Data Analyst at SpectraMedix was asked...,Explain one main skill on your resume,16-May-17
